epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
66,535,1.0,,0.000709511514287442,,,
67,539,,1.0,,0.00038233716622926295,,
67,543,,,,,1.0,0.03439593315124512
67,543,1.0,,0.0006871786317788064,,,
68,544,,1.0,,0.0007036632741801441,,
68,549,,1.0,,0.0004390524118207395,,
68,551,,,,,1.0,0.034334275871515274
68,551,1.0,,0.0006659699720330536,,,
69,554,,1.0,,0.0015295526245608926,,
69,559,,1.0,,0.000895933189895004,,
69,559,,,,,1.0,0.03428759425878525
69,559,1.0,,0.0006463711615651846,,,
70,564,,1.0,,0.00045465564471669495,,
70,567,,,,,1.0,0.03430715203285217
70,567,1.0,,0.000627357279881835,,,
71,569,,1.0,,0.00037727487506344914,,
71,574,,1.0,,0.0006002461304888129,,
71,575,,,,,1.0,0.034304454922676086
71,575,1.0,,0.0006087585934437811,,,
72,579,,1.0,,0.00033189140958711505,,
72,583,,,,,1.0,0.03426241874694824
72,583,1.0,,0.000591232324950397,,,
73,584,,1.0,,0.0006087897345423698,,
73,589,,1.0,,0.00037903900374658406,,
73,591,,,,,1.0,0.03426960110664368
73,591,1.0,,0.0005746351671405137,,,
74,594,,1.0,,0.0013215739745646715,,
74,599,,1.0,,0.0007780147134326398,,
74,599,,,,,1.0,0.034306809306144714
74,599,1.0,,0.0005583880702033639,,,
75,604,,1.0,,0.0003943783522117883,,
75,607,,,,,1.0,0.034274861216545105
75,607,1.0,,0.0005427871365100145,,,
76,609,,1.0,,0.00032468256540596485,,
76,614,,1.0,,0.0005179148865863681,,
76,615,,,,,1.0,0.03426528722047806
76,615,1.0,,0.000528171076439321,,,
77,619,,1.0,,0.0002910009352490306,,
77,623,,,,,1.0,0.034282658249139786
77,623,1.0,,0.0005139568238519132,,,
78,624,,1.0,,0.000530207937117666,,
78,629,,1.0,,0.00033123427419923246,,
78,631,,,,,1.0,0.034271396696567535
78,631,1.0,,0.0005001965910196304,,,
79,634,,1.0,,0.0011524087749421597,,
79,639,,1.0,,0.0006785474251955748,,
79,639,,,,,1.0,0.034266531467437744
79,639,1.0,,0.0004870102275162935,,,
80,644,,1.0,,0.00034510632394813,,
80,647,,,,,1.0,0.034284599125385284
80,647,1.0,,0.0004743713652715087,,,
81,649,,1.0,,0.00028197496430948377,,
81,654,,1.0,,0.00045108620543032885,,
81,655,,,,,1.0,0.03431319445371628
81,655,1.0,,0.00046217066119425,,,
82,659,,1.0,,0.0002572701487224549,,
82,663,,,,,1.0,0.03429784998297691
82,663,1.0,,0.00045046000741422176,,,
83,664,,1.0,,0.00046602915972471237,,
83,669,,1.0,,0.0002915866207331419,,
83,671,,,,,1.0,0.03430195152759552
83,671,1.0,,0.00043928841478191316,,,
84,674,,1.0,,0.001014064997434616,,
84,679,,1.0,,0.000597179401665926,,
84,679,,,,,0.9655172228813171,0.03431970626115799
84,679,1.0,,0.0004284022143110633,,,
85,684,,1.0,,0.00030455057276412845,,
85,687,,,,,0.9655172228813171,0.03435024246573448
85,687,1.0,,0.0004178812960162759,,,
86,689,,1.0,,0.0002469989121891558,,
86,694,,1.0,,0.0003965942014474422,,
86,695,,,,,0.9655172228813171,0.034364134073257446
86,695,1.0,,0.0004077733028680086,,,
87,699,,1.0,,0.00022919315961189568,,
87,703,,,,,0.9655172228813171,0.03439409285783768
87,703,1.0,,0.0003980595793109387,,,
88,704,,1.0,,0.0004121502279303968,,
88,709,,1.0,,0.0002586648042779416,,
88,711,,,,,0.9655172228813171,0.03439803421497345
88,711,1.0,,0.0003885831101797521,,,
89,714,,1.0,,0.0008986160974018276,,
89,719,,1.0,,0.0005301024066284299,,
89,719,,,,,0.9655172228813171,0.034392476081848145
89,719,1.0,,0.0003795226220972836,,,
90,724,,1.0,,0.0002705978404264897,,
90,727,,,,,0.9655172228813171,0.034404050558805466
90,727,1.0,,0.00037079397588968277,,,
91,729,,1.0,,0.00021814319188706577,,
91,734,,1.0,,0.00035119280801154673,,
91,735,,,,,0.9655172228813171,0.034420594573020935
91,735,1.0,,0.0003623378579504788,,,
92,739,,1.0,,0.00020534438954200596,,
92,743,,,,,0.9655172228813171,0.03442595899105072
92,743,1.0,,0.00035415065940469503,,,
93,744,,1.0,,0.00036738437484018505,,
93,749,,1.0,,0.00023047812283039093,,
93,751,,,,,0.9655172228813171,0.03442370146512985
93,751,1.0,,0.0003462438762653619,,,
94,754,,1.0,,0.0008018446969799697,,
94,759,,1.0,,0.0004737447015941143,,
94,759,,,,,0.9655172228813171,0.034480176866054535
94,759,1.0,,0.0003385615418665111,,,
95,764,,1.0,,0.00024180897162295878,,
95,767,,,,,0.9655172228813171,0.03451253101229668
95,767,1.0,,0.0003310441388748586,,,
96,769,,1.0,,0.0001937801716849208,,
96,774,,1.0,,0.0003127053496427834,,
96,775,,,,,0.9655172228813171,0.03450077399611473
96,775,1.0,,0.00032384178484790027,,,
97,779,,1.0,,0.00018504106265027076,,
97,783,,,,,0.9655172228813171,0.03450367599725723
97,783,1.0,,0.0003169831761624664,,,
98,784,,1.0,,0.00032938492950052023,,
98,789,,1.0,,0.00020710994431283325,,
98,791,,,,,0.9655172228813171,0.03453128784894943
98,791,1.0,,0.0003102352493442595,,,
99,794,,1.0,,0.0007193789933808148,,
99,799,,1.0,,0.00042465253500267863,,
99,799,,,,,0.9655172228813171,0.03452561795711517
99,799,1.0,,0.0003036796406377107,,,
