epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
82,663,,,1.0,,0.0005246419459581375,,,
83,664,,,,1.0,,0.0010112487943843007,,
83,669,,,,1.0,,0.00032161196577362716,,
83,671,,,,,,,1.0,0.005046107806265354
83,671,,,1.0,,0.000511542079038918,,,
84,674,,,,1.0,,0.00021191702398937196,,
84,679,,,,1.0,,1.6689286894688848e-06,,
84,679,,,,,,,1.0,0.004994495771825314
84,679,,,1.0,,0.0004989251028746367,,,
85,684,,,,1.0,,0.0003776195226237178,,
85,687,,,,,,,1.0,0.004943280480802059
85,687,,,1.0,,0.00048680673353374004,,,
86,689,,,,1.0,,0.0006466879276558757,,
86,694,,,,1.0,,6.443856545956805e-05,,
86,695,,,,,,,1.0,0.004893544130027294
86,695,,,1.0,,0.0004750253283418715,,,
87,699,,,,1.0,,0.0008159110439009964,,
87,703,,,,,,,1.0,0.004843726754188538
87,703,,,1.0,,0.00046378152910619974,,,
88,704,,,,1.0,,0.0008961433195509017,,
88,709,,,,1.0,,0.0002836302446667105,,
88,711,,,,,,,1.0,0.004797147586941719
88,711,,,1.0,,0.00045284247607924044,,,
89,714,,,,1.0,,0.0001888238766696304,,
89,719,,,,1.0,,1.311301275563892e-06,,
89,719,,,,,,,1.0,0.004752730019390583
89,719,,,1.0,,0.00044226052705198526,,,
90,724,,,,1.0,,0.00033469157642684877,,
90,727,,,,,,,1.0,0.004707293584942818
90,727,,,1.0,,0.0004320966254454106,,,
91,729,,,,1.0,,0.0005721139023080468,,
91,734,,,,1.0,,5.6885561207309365e-05,,
91,735,,,,,,,1.0,0.004660667851567268
91,735,,,1.0,,0.0004222309507895261,,,
92,739,,,,1.0,,0.0007285649189725518,,
92,743,,,,,,,1.0,0.0046152761206030846
92,743,,,1.0,,0.0004127110296394676,,,
93,744,,,,1.0,,0.000799375178758055,,
93,749,,,,1.0,,0.00025181681849062443,,
93,751,,,,,,,1.0,0.004572692792862654
93,751,,,1.0,,0.0004034830490127206,,,
94,754,,,,1.0,,0.00016943314403761178,,
94,759,,,,1.0,,1.1920922133867862e-06,,
94,759,,,,,,,1.0,0.004530744627118111
94,759,,,1.0,,0.0003945895005017519,,,
95,764,,,,1.0,,0.00029866129625588655,,
95,767,,,,,,,1.0,0.004491375293582678
95,767,,,1.0,,0.0003859807038679719,,,
96,769,,,,1.0,,0.0005095575470477343,,
96,774,,,,1.0,,5.058378155808896e-05,,
96,775,,,,,,,1.0,0.004451024811714888
96,775,,,1.0,,0.00037762196734547615,,,
97,779,,,,1.0,,0.0006540699978359044,,
97,783,,,,,,,1.0,0.004411085043102503
97,783,,,1.0,,0.00036954914685338736,,,
98,784,,,,1.0,,0.0007179125677794218,,
98,789,,,,1.0,,0.00022496937890537083,,
98,791,,,,,,,1.0,0.004373775329440832
98,791,,,1.0,,0.0003616960602812469,,,
99,794,,,,1.0,,0.00015285309928003699,,
99,799,,,,1.0,,9.536738616588991e-07,,
99,799,,,,,,,1.0,0.004334595054388046
99,799,,,1.0,,0.00035410994314588606,,,
100,800,1.0,0.0026344037614762783,,,,,,
